date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2026-01-02,99949.51,99949.51,-0.0,146.3026,0
2026-01-05,100563.0,100615.19,-0.0,82.1334,9
2026-01-06,101186.66,101213.57,-0.0,82.1334,9
2026-01-07,100276.13,100887.32,-0.0,82.1334,9
2026-01-08,100472.2,100877.08,-0.0,82.1334,9
2026-01-09,100922.88,101544.21,75.14,81.8463,9
2026-01-12,101108.49,101703.68,75.14,88.9217,8
2026-01-13,100553.71,101500.33,47.24,60.2113,9
2026-01-14,100353.09,101001.43,47.24,66.893,8
2026-01-15,101369.24,101276.48,47.24,88.5017,5
2026-01-16,101060.94,101191.62,6.32,45.1428,5
2026-01-20,100194.3,99131.69,6.32,92.0557,3
2026-01-21,100980.51,100275.77,6.99,0.0,7
2026-01-22,99767.19,100799.53,11.35,0.0,9
2026-01-23,99816.25,100836.11,11.35,0.0,9
2026-01-26,100034.77,101348.17,11.35,0.0,9
2026-01-27,100021.48,101751.96,11.35,0.0,9
2026-01-28,98542.72,101741.72,11.35,0.0,9
2026-01-29,98591.28,101539.82,11.35,0.0,9
2026-01-30,99129.57,101236.97,11.35,0.0,9
2026-02-02,98138.95,101740.26,4.68,29.6974,9
2026-02-03,98185.31,100880.0,20.5,73.3695,9
2026-02-04,97653.87,100391.35,86.54,83.2356,8
2026-02-05,94638.2,99137.54,9.42,75.4243,9
2026-02-06,97199.78,101039.47,9.42,75.4243,9
2026-02-09,97341.88,101526.66,12.9,75.8885,9
2026-02-10,97082.92,101258.92,24.78,73.1087,9
2026-02-11,96167.85,101235.52,51.82,77.8595,9
2026-02-12,94691.78,99671.54,44.16,77.3079,9
2026-02-13,94856.63,99741.77,44.16,77.3079,9
2026-02-17,94596.66,99902.7,44.16,77.3079,9
2026-02-18,95343.23,100405.98,44.16,84.3646,8
2026-02-19,95462.43,100141.17,10.97,97.183,6
2026-02-20,95881.98,100865.37,0.39,77.2011,9
2026-02-23,94140.52,99835.4,-0.0,77.5512,9
2026-02-24,95269.69,100561.06,77.49,77.2887,9
2026-02-25,95916.95,101409.62,6.77,77.828,9
2026-02-26,96180.14,100846.35,22.62,83.8833,8
2026-02-27,94991.86,100362.09,5.15,76.992,9
2026-03-02,95316.63,100419.15,0.75,75.9069,9
2026-03-03,94974.53,99534.02,4.18,76.7902,9
2026-03-04,95984.76,100236.27,48.59,77.8397,9
2026-03-05,95943.7,99677.39,48.59,77.8397,9
2026-03-06,94790.39,98370.91,4.26,77.8376,9
2026-03-09,95322.3,99232.64,4.26,77.8376,9
2026-03-10,95148.84,99073.16,4.26,77.8376,9
2026-03-11,95112.03,98948.81,4.26,77.8376,9
2026-03-12,92864.7,97446.28,75.28,92.1306,7
2026-03-13,92902.37,96894.72,0.53,78.3429,9
2026-03-16,93552.29,97880.8,0.53,85.0447,8
2026-03-17,93675.51,98138.29,0.53,97.9897,6
2026-03-18,92127.48,96768.9,22.37,98.2142,6
2026-03-19,91868.76,96530.42,22.37,118.5261,3
2026-03-20,90648.82,94887.45,6.39,91.1223,7
2026-03-23,91110.99,95883.77,-0.0,84.4435,8
2026-03-24,90905.8,95561.9,-0.0,91.2794,7
2026-03-25,90976.74,96094.44,8.13,91.6305,7
2026-03-26,89923.21,94378.32,0.15,90.7251,7
2026-03-27,89570.59,92768.99,0.15,90.7251,7
2026-03-30,89670.15,92458.82,48.66,77.222,9
2026-03-31,91853.22,95146.41,49.86,78.6364,9
2026-04-01,91773.81,95863.28,49.86,99.1279,6
2026-04-02,92285.48,95949.61,0.0,79.3127,9
2026-04-06,92761.96,96403.14,47.91,79.4331,9
2026-04-07,92634.34,96445.57,47.91,79.4331,9
2026-04-08,93561.39,98901.99,31.29,84.3797,8
2026-04-09,94159.47,99472.57,-0.0,77.7891,9
2026-04-10,93801.84,99406.74,-0.0,78.5663,9
2026-04-13,94909.95,100378.18,35.4,78.1333,9
2026-04-14,95392.93,101601.27,25.93,103.9923,5
2026-04-15,96063.8,102403.01,57.34,76.9409,9
2026-04-16,96398.34,102654.65,85.02,76.4814,9
2026-04-17,96813.98,103895.3,85.02,76.4814,9
2026-04-20,96687.21,103687.54,85.02,76.4814,9
2026-04-21,96248.59,103008.7,85.02,76.4814,9
2026-04-22,96802.9,104051.84,48.85,65.148,9
2026-04-23,96365.87,103648.05,48.85,104.9329,3
2026-04-24,96944.21,104451.25,33.36,53.4854,8
2026-04-27,97022.81,104631.19,68.94,30.6714,9
2026-04-28,96523.35,104122.06,0.65,30.2614,9
2026-04-29,96907.79,104105.97,0.65,30.2614,9
2026-04-30,97003.11,105141.79,0.65,43.5485,8
2026-05-01,98859.87,105432.94,88.23,39.9929,8
2026-05-04,98620.62,105046.7,0.4,33.3039,8
2026-05-05,100339.34,105889.4,-0.0,29.579,8
2026-05-06,100916.92,107361.21,21.36,19.4854,7
2026-05-07,103996.04,107032.02,-0.0,22.9586,5
2026-05-08,106888.45,107915.69,0.0,46.3824,4
2026-05-11,104837.59,108161.48,3.03,18.0118,5
2026-05-12,101419.35,107997.62,61.3,0.0,8
2026-05-13,99969.79,108601.85,61.3,0.0,8
2026-05-14,101069.05,109459.18,6.5,0.0,8
2026-05-15,99437.82,108142.46,6.5,0.0,8
2026-05-18,100067.58,108066.38,6.5,0.0,8
2026-05-19,99875.04,107346.57,13.81,24.8338,7
2026-05-20,101327.41,108446.77,-0.0,0.3143,8
2026-05-21,103149.24,108661.83,-0.0,46.7547,6
2026-05-22,108526.08,109089.04,-0.0,46.8698,5
2026-05-26,109716.93,109813.24,5.3,0.0,8
2026-05-27,107176.63,109794.22,-0.0,2.1338,8
2026-05-28,111210.44,110399.9,-0.0,76.9171,4
2026-05-29,116973.42,110674.95,-0.0,76.9171,4
2026-06-01,121990.43,110976.34,-0.0,160.8227,0
2026-06-02,122156.08,111127.03,-0.0,160.8227,0
2026-06-03,121272.8,110347.24,30.16,128.6581,1
2026-06-04,121603.63,110764.2,30.16,128.6581,1
2026-06-05,119668.03,107905.45,30.16,128.6581,1
2026-06-08,119433.38,108149.77,45.63,96.3784,2
2026-06-09,121108.53,107832.3,45.63,164.2533,0
2026-06-10,119199.91,106132.26,45.63,164.2533,0
2026-06-11,121225.15,107936.17,45.63,164.2533,0
2026-06-12,121880.52,108519.92,45.63,164.2533,0
