date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2024-07-29,99949.27,99949.27,-0.0,215.4543,0
2024-07-30,98576.83,98576.83,-0.0,215.4543,0
2024-07-31,101494.08,101494.08,-0.0,215.4543,0
2024-08-01,99035.75,99035.75,-0.0,215.4543,0
2024-08-02,96685.14,96685.14,-0.0,215.4543,0
2024-08-05,93802.36,93802.36,-0.0,215.4543,0
2024-08-06,94698.65,94698.65,-0.0,215.4543,0
2024-08-07,93673.09,93673.09,-0.0,215.4543,0
2024-08-08,96538.63,96538.63,-0.0,215.4543,0
2024-08-09,97042.79,97042.79,-0.0,215.4543,0
2024-08-12,97251.79,97251.79,-0.0,215.4543,0
2024-08-13,99664.87,99664.87,-0.0,215.4543,0
2024-08-14,99697.19,99697.19,-0.0,215.4543,0
2024-08-15,102215.86,102215.86,-0.0,215.4543,0
2024-08-16,102347.28,102347.28,-0.0,215.4543,0
2024-08-19,103691.71,103691.71,-0.0,215.4543,0
2024-08-20,103474.11,103474.11,-0.0,215.4543,0
2024-08-21,103956.72,103956.72,-0.0,215.4543,0
2024-08-22,102308.5,102308.5,-0.0,215.4543,0
2024-08-23,103418.09,103418.09,-0.0,215.4543,0
2024-08-26,102414.07,102414.07,-0.0,215.4543,0
2024-08-27,102720.02,102720.02,-0.0,215.4543,0
2024-08-28,101554.41,101554.41,-0.0,215.4543,0
2024-08-29,101405.74,101405.74,-0.0,215.4543,0
2024-08-30,102614.44,102614.44,-0.0,215.4543,0
2024-09-03,99498.97,99498.97,-0.0,215.4543,0
2024-09-04,99240.42,99240.42,-0.0,215.4543,0
2024-09-05,99333.07,99333.07,-0.0,215.4543,0
2024-09-06,96672.21,96672.21,-0.0,215.4543,0
2024-09-09,97915.38,97915.38,-0.0,215.4543,0
2024-09-10,98820.29,98820.29,-0.0,215.4543,0
2024-09-11,100966.22,100966.22,-0.0,215.4543,0
2024-09-12,101957.31,101957.31,-0.0,215.4543,0
2024-09-13,102414.07,102414.07,-0.0,215.4543,0
2024-09-16,101961.61,101961.61,-0.0,215.4543,0
2024-09-17,102015.48,102015.48,-0.0,215.4543,0
2024-09-18,101573.8,101573.8,-0.0,215.4543,0
2024-09-19,104142.01,104142.01,-0.0,215.4543,0
2024-09-20,103943.8,103943.8,-0.0,215.4543,0
2024-09-23,104073.07,104073.07,-0.0,215.4543,0
2024-09-24,104575.08,104575.08,-0.0,215.4543,0
2024-09-25,104657.58,104672.03,14.94,190.7411,1
2024-09-26,105348.69,105458.44,14.94,190.7411,1
2024-09-27,105196.35,104872.4,14.94,190.7411,1
2024-09-30,106155.37,105156.81,14.94,217.4697,0
2024-10-01,104676.57,103691.71,14.94,217.4697,0
2024-10-02,104797.58,103838.23,33.49,167.6183,2
2024-10-03,105438.49,103760.66,33.49,167.6183,2
2024-10-04,106614.76,104995.22,33.49,167.6183,2
2024-10-07,106226.62,103870.54,33.49,220.272,0
2024-10-08,107812.57,105421.81,33.49,220.272,0
2024-10-09,108660.62,106251.31,33.49,220.272,0
