date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2024-07-29,99949.38,99949.38,-0.0,183.4742,0
2024-07-30,99442.99,99442.99,-0.0,183.4742,0
2024-07-31,101059.4,101059.4,-0.0,183.4742,0
2024-08-01,99628.3,99628.3,-0.0,183.4742,0
2024-08-02,97773.38,97773.38,-0.0,183.4742,0
2024-08-05,94925.86,94925.86,-0.0,183.4742,0
2024-08-06,95801.04,95801.04,-0.0,183.4742,0
2024-08-07,95160.7,95160.7,-0.0,183.4742,0
2024-08-08,97360.57,97360.57,-0.0,183.4742,0
2024-08-09,97789.89,97789.89,-0.0,183.4742,0
2024-08-12,97841.27,97841.27,-0.0,183.4742,0
2024-08-13,99450.33,99450.33,-0.0,183.4742,0
2024-08-14,99750.95,99764.07,56.97,161.4573,1
2024-08-15,101226.93,101474.05,56.97,161.4573,1
2024-08-16,101440.1,101701.56,56.97,161.4573,1
2024-08-19,102292.94,102673.97,56.97,161.4573,1
2024-08-20,102163.3,102507.01,56.97,161.4573,1
2024-08-21,102486.25,102859.28,56.97,161.4573,1
2024-08-22,101760.0,102051.99,56.97,161.4573,1
2024-08-23,102741.57,103136.33,56.97,161.4573,1
2024-08-26,102519.46,102890.47,56.97,161.4573,1
2024-08-27,102650.98,103031.75,56.97,161.4573,1
2024-08-28,102123.19,102433.62,56.97,161.4573,1
2024-08-29,102129.82,102442.79,56.97,161.4573,1
2024-08-30,102990.39,103420.71,56.97,161.4573,1
2024-09-03,101088.69,101292.42,56.97,161.4573,1
2024-09-04,100932.16,101085.09,56.97,161.4573,1
2024-09-05,100720.13,100839.23,56.97,161.4573,1
2024-09-06,99248.25,99142.09,56.97,161.4573,1
2024-09-09,100226.5,100252.11,56.97,161.4573,1
2024-09-10,100614.91,100688.78,56.97,183.2357,0
2024-09-11,101646.52,101721.74,56.97,183.2357,0
2024-09-12,102502.24,102578.57,56.97,183.2357,0
2024-09-13,103037.29,103114.31,56.97,183.2357,0
2024-09-16,103189.38,103266.6,56.97,183.2357,0
2024-09-17,103231.52,103308.79,56.97,183.2357,0
2024-09-18,102925.52,103002.4,56.97,183.2357,0
2024-09-19,104680.91,104760.07,56.97,183.2357,0
2024-09-20,104180.68,104259.19,56.97,183.2357,0
2024-09-23,104425.72,104519.72,12.96,161.3355,1
2024-09-24,105433.5,104818.78,12.96,161.3355,1
2024-09-25,105219.89,104587.6,12.96,184.5606,0
2024-09-26,105637.0,105002.26,12.96,184.5606,0
2024-09-27,105483.81,104849.97,12.96,184.5606,0
2024-09-30,105906.46,105270.13,12.96,184.5606,0
2024-10-01,104957.82,104327.07,12.96,184.5606,0
2024-10-02,104974.04,104371.11,19.66,140.4123,2
2024-10-03,105560.46,104180.3,19.66,140.4123,2
2024-10-04,106510.73,105127.02,19.66,140.4123,2
2024-10-07,106291.11,104176.62,19.66,187.1635,0
2024-10-08,107296.18,105161.88,19.66,187.1635,0
2024-10-09,108039.23,105890.28,19.66,187.1635,0
2024-10-10,107850.19,105704.97,19.66,187.1635,0
2024-10-11,108495.91,106337.95,19.66,187.1635,0
2024-10-14,109383.06,107207.62,19.66,187.1635,0
2024-10-15,108533.34,106374.65,19.66,187.1635,0
2024-10-16,109004.99,106837.0,19.66,187.1635,0
2024-10-17,109014.34,106846.17,19.66,187.1635,0
2024-10-18,109433.6,107257.16,19.66,187.1635,0
2024-10-21,109253.92,107081.02,19.66,187.1635,0
2024-10-22,109195.9,107024.15,19.66,187.1635,0
2024-10-23,108198.31,106046.23,19.66,187.1635,0
2024-10-24,108432.27,106275.57,19.66,187.1635,0
2024-10-25,108394.83,106238.87,19.66,187.1635,0
2024-10-28,108729.86,106567.3,19.66,187.1635,0
2024-10-29,108905.8,106739.76,19.66,187.1635,0
2024-10-30,108576.39,106416.85,19.66,187.1635,0
2024-10-31,106448.34,104330.75,19.66,187.1635,0
2024-11-01,106897.52,104771.08,19.66,187.1635,0
2024-11-04,106667.32,104545.41,19.66,187.1635,0
2024-11-05,107956.87,105809.55,19.66,187.1635,0
2024-11-06,110640.79,108440.56,19.66,187.1635,0
2024-11-07,111496.13,109279.04,19.66,187.1635,0
2024-11-08,111979.02,109752.41,19.66,187.1635,0
2024-11-11,112085.7,109856.99,19.66,187.1635,0
2024-11-12,111737.58,109515.73,19.66,187.1635,0
2024-11-13,111791.85,109568.93,19.66,187.1635,0
2024-11-14,111073.14,108864.39,19.66,187.1635,0
2024-11-15,109650.7,107469.99,19.66,187.1635,0
2024-11-18,110099.9,107910.33,19.66,187.1635,0
2024-11-19,110502.29,108304.79,19.66,187.1635,0
2024-11-20,110539.73,108341.49,19.66,187.1635,0
2024-11-21,111133.03,108923.1,19.66,187.1635,0
2024-11-22,111477.42,109260.7,19.66,187.1635,0
2024-11-25,111855.49,109631.32,19.66,187.1635,0
2024-11-26,112439.44,110203.76,19.66,187.1635,0
2024-11-27,112098.81,109869.83,19.66,187.1635,0
2024-11-29,112795.05,110552.35,19.66,187.1635,0
2024-12-02,112997.19,110750.51,19.66,187.1635,0
2024-12-03,113049.59,110801.87,19.66,187.1635,0
2024-12-04,113751.45,111489.9,19.66,187.1635,0
2024-12-05,113564.29,111306.43,19.66,187.1635,0
2024-12-06,113779.53,111517.43,19.66,187.1635,0
2024-12-09,113193.71,110943.15,19.66,187.1635,0
2024-12-10,112841.84,110598.22,19.66,187.1635,0
2024-12-11,113714.03,111453.21,19.66,187.1635,0
2024-12-12,113128.2,110878.94,19.66,187.1635,0
2024-12-13,113105.75,110856.92,19.66,187.1635,0
2024-12-16,113588.62,111330.28,19.66,187.1635,0
2024-12-17,113120.71,110871.59,19.66,187.1635,0
2024-12-18,109749.9,107567.23,19.66,187.1635,0
2024-12-19,109716.21,107534.2,19.66,187.1635,0
2024-12-20,110661.39,108460.75,19.66,187.1635,0
2024-12-23,111323.95,109110.25,19.66,187.1635,0
2024-12-24,112561.09,110323.01,19.66,187.1635,0
2024-12-26,112568.59,110330.35,19.66,187.1635,0
2024-12-27,111383.84,109168.96,19.66,187.1635,0
2024-12-30,110112.99,107923.16,19.66,187.1635,0
2024-12-31,109712.47,107530.54,19.66,187.1635,0
2025-01-02,109442.95,107266.33,19.66,187.1635,0
2025-01-03,110811.12,108607.53,19.66,187.1635,0
2025-01-06,111449.34,109233.17,19.66,187.1635,0
2025-01-07,110189.73,107998.39,19.66,187.1635,0
2025-01-08,110350.69,108156.18,19.66,187.1635,0
2025-01-10,108666.22,106504.91,19.66,187.1635,0
2025-01-13,108834.67,106670.04,19.66,187.1635,0
2025-01-14,108984.4,106816.82,19.66,187.1635,0
2025-01-15,110966.47,108759.82,19.66,187.1635,0
2025-01-16,110753.1,108550.65,19.66,187.1635,0
2025-01-17,111864.85,109640.49,19.66,187.1635,0
2025-01-21,112888.63,110644.09,19.66,187.1635,0
2025-01-22,113523.12,111266.07,19.66,187.1635,0
2025-01-23,114142.63,111873.37,19.66,187.1635,0
2025-01-24,113809.47,111546.78,19.66,187.1635,0
2025-01-27,112199.87,109968.9,19.66,187.1635,0
2025-01-28,113163.77,110913.8,19.66,187.1635,0
2025-01-29,112656.55,110416.58,19.66,187.1635,0
2025-01-30,113261.08,111009.2,19.66,187.1635,0
2025-01-31,112658.42,110418.42,19.66,187.1635,0
2025-02-03,111900.41,109675.35,19.66,187.1635,0
2025-02-04,112650.94,110411.08,19.66,187.1635,0
2025-02-05,113107.61,110858.75,19.66,187.1635,0
2025-02-06,113500.66,111244.05,19.66,187.1635,0
2025-02-07,112461.9,110225.77,19.66,187.1635,0
2025-02-10,113225.52,110974.34,19.66,187.1635,0
2025-02-11,113311.62,111058.74,19.66,187.1635,0
2025-02-12,112946.65,110700.96,19.66,187.1635,0
