date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2024-07-29,99949.38,99949.38,-0.0,183.4742,0
2024-07-30,99442.99,99442.99,-0.0,183.4742,0
2024-07-31,101059.4,101059.4,-0.0,183.4742,0
2024-08-01,99628.3,99628.3,-0.0,183.4742,0
2024-08-02,97773.38,97773.38,-0.0,183.4742,0
2024-08-05,94925.86,94925.86,-0.0,183.4742,0
2024-08-06,95801.04,95801.04,-0.0,183.4742,0
2024-08-07,95160.7,95160.7,-0.0,183.4742,0
2024-08-08,97360.57,97360.57,-0.0,183.4742,0
2024-08-09,97789.89,97789.89,-0.0,183.4742,0
2024-08-12,97841.27,97841.27,-0.0,183.4742,0
2024-08-13,99450.33,99450.33,-0.0,183.4742,0
2024-08-14,99764.07,99764.07,-0.0,183.4742,0
2024-08-15,101474.05,101474.05,-0.0,183.4742,0
2024-08-16,101701.56,101701.56,-0.0,183.4742,0
2024-08-19,102673.97,102673.97,-0.0,183.4742,0
2024-08-20,102507.01,102507.01,-0.0,183.4742,0
2024-08-21,102859.28,102859.28,-0.0,183.4742,0
2024-08-22,102051.99,102051.99,-0.0,183.4742,0
2024-08-23,103136.33,103136.33,-0.0,183.4742,0
2024-08-26,102890.47,102890.47,-0.0,183.4742,0
2024-08-27,103031.75,103031.75,-0.0,183.4742,0
2024-08-28,102433.62,102433.62,-0.0,183.4742,0
2024-08-29,102442.79,102442.79,-0.0,183.4742,0
2024-08-30,103420.71,103420.71,-0.0,183.4742,0
2024-09-03,101292.42,101292.42,-0.0,183.4742,0
2024-09-04,101085.09,101085.09,-0.0,183.4742,0
2024-09-05,100839.23,100839.23,-0.0,183.4742,0
2024-09-06,99142.09,99142.09,-0.0,183.4742,0
2024-09-09,100252.11,100252.11,-0.0,183.4742,0
2024-09-10,100688.78,100688.78,-0.0,183.4742,0
2024-09-11,101721.74,101721.74,-0.0,183.4742,0
2024-09-12,102578.57,102578.57,-0.0,183.4742,0
2024-09-13,103114.31,103114.31,-0.0,183.4742,0
2024-09-16,103266.6,103266.6,-0.0,183.4742,0
2024-09-17,103308.79,103308.79,-0.0,183.4742,0
2024-09-18,103002.4,103002.4,-0.0,183.4742,0
2024-09-19,104760.07,104760.07,-0.0,183.4742,0
2024-09-20,104259.19,104259.19,-0.0,183.4742,0
2024-09-23,104504.52,104519.72,0.04,161.4573,1
2024-09-24,105513.83,104818.78,0.04,161.4573,1
2024-09-25,105300.05,104587.6,0.04,184.7239,0
2024-09-26,105717.53,105002.26,0.04,184.7239,0
2024-09-27,105564.2,104849.97,0.04,184.7239,0
2024-09-30,105987.23,105270.13,0.04,184.7239,0
2024-10-01,105037.74,104327.07,0.04,184.7239,0
2024-10-02,105053.92,104371.11,29.21,140.408,2
2024-10-03,105643.31,104180.3,29.21,140.408,2
2024-10-04,106594.18,105127.02,29.21,140.408,2
2024-10-07,106377.35,104176.62,29.21,187.2986,0
2024-10-08,107383.14,105161.88,29.21,187.2986,0
2024-10-09,108126.72,105890.28,29.21,187.2986,0
2024-10-10,107937.55,105704.97,29.21,187.2986,0
2024-10-11,108583.73,106337.95,29.21,187.2986,0
2024-10-14,109471.53,107207.62,29.21,187.2986,0
2024-10-15,108621.2,106374.65,29.21,187.2986,0
2024-10-16,109093.18,106837.0,29.21,187.2986,0
2024-10-17,109102.54,106846.17,29.21,187.2986,0
2024-10-18,109522.1,107257.16,29.21,187.2986,0
2024-10-21,109342.29,107081.02,29.21,187.2986,0
2024-10-22,109284.23,107024.15,29.21,187.2986,0
2024-10-23,108285.92,106046.23,29.21,187.2986,0
2024-10-24,108520.05,106275.57,29.21,187.2986,0
2024-10-25,108482.58,106238.87,29.21,187.2986,0
2024-10-28,108817.86,106567.3,29.21,187.2986,0
2024-10-29,108993.92,106739.76,29.21,187.2986,0
2024-10-30,108664.27,106416.85,29.21,187.2986,0
2024-10-31,106534.69,104330.75,29.21,187.2986,0
2024-11-01,106984.2,104771.08,29.21,187.2986,0
2024-11-04,106753.82,104545.41,29.21,187.2986,0
2024-11-05,108044.31,105809.55,29.21,187.2986,0
2024-11-06,110730.17,108440.56,29.21,187.2986,0
2024-11-07,111586.12,109279.04,29.21,187.2986,0
2024-11-08,112069.36,109752.41,29.21,187.2986,0
2024-11-11,112176.12,109856.99,29.21,187.2986,0
2024-11-12,111827.75,109515.73,29.21,187.2986,0
2024-11-13,111882.06,109568.93,29.21,187.2986,0
2024-11-14,111162.83,108864.39,29.21,187.2986,0
2024-11-15,109739.36,107469.99,29.21,187.2986,0
2024-11-18,110188.88,107910.33,29.21,187.2986,0
2024-11-19,110591.57,108304.79,29.21,187.2986,0
2024-11-20,110629.03,108341.49,29.21,187.2986,0
2024-11-21,111222.76,108923.1,29.21,187.2986,0
2024-11-22,111567.4,109260.7,29.21,187.2986,0
2024-11-25,111945.75,109631.32,29.21,187.2986,0
2024-11-26,112530.12,110203.76,29.21,187.2986,0
2024-11-27,112189.23,109869.83,29.21,187.2986,0
2024-11-29,112885.98,110552.35,29.21,187.2986,0
2024-12-02,113088.26,110750.51,29.21,187.2986,0
2024-12-03,113140.7,110801.87,29.21,187.2986,0
2024-12-04,113843.07,111489.9,29.21,187.2986,0
2024-12-05,113655.77,111306.43,29.21,187.2986,0
2024-12-06,113871.17,111517.43,29.21,187.2986,0
2024-12-09,113284.92,110943.15,29.21,187.2986,0
2024-12-10,112932.8,110598.22,29.21,187.2986,0
2024-12-11,113805.62,111453.21,29.21,187.2986,0
2024-12-12,113219.37,110878.94,29.21,187.2986,0
2024-12-13,113196.9,110856.92,29.21,187.2986,0
2024-12-16,113680.12,111330.28,29.21,187.2986,0
2024-12-17,113211.87,110871.59,29.21,187.2986,0
2024-12-18,109838.64,107567.23,29.21,187.2986,0
2024-12-19,109804.91,107534.2,29.21,187.2986,0
2024-12-20,110750.78,108460.75,29.21,187.2986,0
2024-12-23,111413.81,109110.25,29.21,187.2986,0
2024-12-24,112651.85,110323.01,29.21,187.2986,0
2024-12-26,112659.35,110330.35,29.21,187.2986,0
2024-12-27,111473.75,109168.96,29.21,187.2986,0
2024-12-30,110201.98,107923.16,29.21,187.2986,0
2024-12-31,109801.17,107530.54,29.21,187.2986,0
2025-01-02,109531.46,107266.33,29.21,187.2986,0
2025-01-03,110900.62,108607.53,29.21,187.2986,0
2025-01-06,111539.3,109233.17,29.21,187.2986,0
2025-01-07,110278.78,107998.39,29.21,187.2986,0
2025-01-08,110439.86,108156.18,29.21,187.2986,0
2025-01-10,108754.17,106504.91,29.21,187.2986,0
2025-01-13,108922.74,106670.04,29.21,187.2986,0
2025-01-14,109072.58,106816.82,29.21,187.2986,0
2025-01-15,111056.08,108759.82,29.21,187.2986,0
2025-01-16,110842.55,108550.65,29.21,187.2986,0
2025-01-17,111955.11,109640.49,29.21,187.2986,0
2025-01-21,112979.63,110644.09,29.21,187.2986,0
2025-01-22,113614.57,111266.07,29.21,187.2986,0
2025-01-23,114234.53,111873.37,29.21,187.2986,0
2025-01-24,113901.13,111546.78,29.21,187.2986,0
2025-01-27,112290.37,109968.9,29.21,187.2986,0
2025-01-28,113254.96,110913.8,29.21,187.2986,0
2025-01-29,112747.38,110416.58,29.21,187.2986,0
2025-01-30,113352.35,111009.2,29.21,187.2986,0
2025-01-31,112749.25,110418.42,29.21,187.2986,0
2025-02-03,111990.7,109675.35,29.21,187.2986,0
2025-02-04,112741.76,110411.08,29.21,187.2986,0
2025-02-05,113198.76,110858.75,29.21,187.2986,0
2025-02-06,113592.1,111244.05,29.21,187.2986,0
2025-02-07,112552.59,110225.77,29.21,187.2986,0
2025-02-10,113316.76,110974.34,29.21,187.2986,0
2025-02-11,113402.92,111058.74,29.21,187.2986,0
