market_id,symbol,question,polarity,polarity_source,pct,converged,asset_confidence,question_confidence,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_equity_at_entry,invested_frac_pct,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
507493,ZIM,Longshoremen east coast strike by Oct 1?,1,override,0.87,YES,5.0,5.0,US East Coast Port Strike Exposure,0.63,train,2024-09-25,0.87,23.53,2024-09-30,25.66,resolution-1d,6.8,-5.99,9.05,2024-09-25 00:00:00+00:00,2024-09-30 00:00:00+00:00,2024-09-20,2024-10-01,509,0.1147027332727811,11976.77,104672.03,11.4422,6.69,7.77,resolution-1d,1084.17,1054.16,8.8017,30.01,13060.94,26.7285
508672,USO,Israel strikes Iranian oil in October?,1,llm,0.8,NO,5.0,5.0,Middle East Geopolitical Oil Risk,0.8,train,2024-10-02,0.8,72.76,2024-10-07,79.2,poly<0.5637677634601008,6.38,-1.57,8.85,2024-10-02 00:00:00+00:00,2024-10-07 00:00:00+00:00,2024-10-02,2024-10-31,165,0.1147027332727811,12005.4,104824.45,11.4529,6.69,6.58,poly<0.5637677634601008,1062.6,1034.98,8.6209,27.62,13068.0,27.0766
508672,XLE,Israel strikes Iranian oil in October?,1,llm,0.8,NO,,0.0,Middle East Geopolitical Oil Risk,0.64,train,2024-10-02,0.8,45.36,2024-10-07,46.76,poly<0.5637677634601008,3.03,-1.11,3.08,2024-10-02 00:00:00+00:00,2024-10-07 00:00:00+00:00,2024-10-02,2024-10-31,264,0.1147027332727811,11975.04,104811.19,11.4253,6.69,6.91,poly<0.5637677634601008,369.6,342.05,2.8563,27.55,12344.64,25.577
550768,MRK,FDA approves Merck’s clesrovimab infant RSV prevention (MK‑1654)?,1,llm,0.88,YES,6.0,6.0,Merck FDA Approval,0.95,train,2025-06-09,0.88,79.33,2025-06-11,81.71,profit_lock_3%,3.21,-0.83,3.0,2025-06-09 00:00:00+00:00,2025-06-11 00:00:00+00:00,2025-06-09,2025-06-17,168,0.1147027332727811,13327.44,116931.84,11.3976,7.41,7.25,profit_lock_3%,399.84,370.14,2.7773,29.7,13727.28,25.755
551649,USO,Israel military action against Iran before August?,1,llm,1.0,YES,5.0,5.0,Israel-Iran Conflict,0.54,train,2025-06-13,1.0,80.22,2025-06-18,82.63,profit_lock_3%,3.33,-4.95,3.0,2025-06-13 00:00:00+00:00,2025-06-18 00:00:00+00:00,2025-06-12,2025-07-31,166,0.1147027332727811,13316.52,116432.08,11.4372,7.36,7.24,profit_lock_3%,400.06,370.44,2.7818,29.62,13716.58,25.9014
552114,XLE,Israel strike on Iran on June 19?,1,llm,0.785,YES,,0.0,Middle East Oil Disruption,0.52,train,2025-06-16,0.785,43.92,2025-06-18,44.04,resolution-1d,1.68,-0.75,0.27,2025-06-16 00:00:00+00:00,2025-06-18 00:00:00+00:00,2025-06-13,2025-06-20,306,0.1147027332727811,13439.52,117580.69,11.43,7.46,7.79,resolution-1d,36.72,6.21,0.0462,30.51,13476.24,25.4466
553038,UNCY,FDA approves Unicycive’s Oxylanthanum Carbonate (OLC)?,1,llm,0.79,NO,5.0,5.0,Unicycive Therapeutics Regulatory Approval,0.95,train,2025-06-18,0.79,6.68,2025-06-20,6.34,poly<0.5637677634601008,0.0,-27.54,-5.09,2025-06-18 00:00:00+00:00,2025-06-20 00:00:00+00:00,2025-06-18,2025-06-28,2011,0.1147027332727811,13433.48,117339.35,11.4484,7.44,13.76,poly<0.5637677634601008,-683.74,-725.42,-5.4001,41.68,12749.74,24.162
552099,USO,Israel military action against Iran in July?,1,llm,0.755,NO,6.0,6.0,Israel-Iran Conflict,0.54,train,2025-06-20,0.755,83.12,2025-06-24,73.0,poly<0.5637677634601008,0.54,-13.41,-12.18,2025-06-20 00:00:00+00:00,2025-06-24 00:00:00+00:00,2025-06-13,2025-07-31,160,0.1147027332727811,13299.2,116189.77,11.4461,7.38,7.21,poly<0.5637677634601008,-1619.2,-1646.7,-12.3819,27.5,11680.0,21.6145
554004,XLE,Israel strike on Iran on June 28?,1,llm,0.785,NO,,0.0,Middle East Oil Disruption,0.52,train,2025-06-20,0.785,44.49,2025-06-24,42.46,poly<0.5637677634601008,0.51,-4.93,-4.57,2025-06-20 00:00:00+00:00,2025-06-24 00:00:00+00:00,2025-06-20,2025-06-29,299,0.1147027332727811,13302.51,116175.18,11.4504,7.38,7.7,poly<0.5637677634601008,-606.97,-636.49,-4.7847,29.52,12695.54,23.4931
554677,USO,Will Iran strike a U.S. facility by Monday June  30?,1,llm,0.795,YES,6.0,6.0,Middle East Oil Disruption,0.675,train,2025-06-24,0.795,73.0,2025-06-27,73.28,resolution-1d,2.3,-1.41,0.38,2025-06-24 00:00:00+00:00,2025-06-27 00:00:00+00:00,2025-06-22,2025-06-30,182,0.1147027332727811,13286.0,116107.83,11.4428,7.37,7.28,resolution-1d,50.96,21.62,0.1627,29.34,13336.96,24.3067
554677,XLE,Will Iran strike a U.S. facility by Monday June  30?,1,llm,0.795,YES,,0.0,Middle East Oil Disruption,0.6,train,2025-06-24,0.795,42.46,2025-06-27,42.65,resolution-1d,1.19,-0.77,0.46,2025-06-24 00:00:00+00:00,2025-06-27 00:00:00+00:00,2025-06-22,2025-06-30,313,0.1147027332727811,13289.98,116093.17,11.4477,7.37,7.74,resolution-1d,59.47,29.2,0.2197,30.27,13349.45,24.3287
566029,REGN,Will the FDA approve Odronextamab/Ordspono Resubmitted BLA?,1,llm,0.775,YES,6.0,6.0,Regeneron FDA Approval,0.95,train,2025-07-22,0.775,560.93,2025-07-30,554.58,resolution-1d,3.0,-2.5,-1.13,2025-07-22 00:00:00+00:00,2025-07-30 00:00:00+00:00,2025-07-22,2025-07-31,24,0.1147027332727811,13462.32,120358.23,11.1852,7.63,7.08,resolution-1d,-152.4,-181.48,-1.3481,29.08,13309.92,23.4068
566028,PTCT,Will the FDA approve Sepiapterin NDA?,1,llm,0.775,YES,5.0,5.0,PTC Therapeutics FDA Approval,0.95,train,2025-07-28,0.775,44.34,2025-07-30,50.1,profit_lock_13%,13.87,-0.43,13.0,2025-07-28 00:00:00+00:00,2025-07-30 00:00:00+00:00,2025-07-22,2025-07-31,314,0.1147027332727811,13922.76,121599.89,11.4496,7.71,8.06,profit_lock_13%,1808.64,1775.26,12.7508,33.38,15731.4,27.6642
566025,ASND,Will the FDA approve TransCon hGH sBLA?,1,llm,0.815,YES,5.0,5.0,Ascendis Pharma FDA Approval,0.95,train,2025-07-28,0.815,164.16,2025-07-30,166.78,resolution-1d,1.12,-2.01,1.6,2025-07-28 00:00:00+00:00,2025-07-30 00:00:00+00:00,2025-07-22,2025-07-31,84,0.1147027332727811,13789.44,121584.12,11.3415,7.71,7.24,resolution-1d,220.08,190.04,1.3781,30.04,14009.52,24.6372
569210,IONS,FDA approves Donidalorsen?,1,llm,0.75,YES,5.0,5.0,Ionis Pharmaceuticals Donidalorsen Approval,0.9,train,2025-07-29,0.75,41.48,2025-07-31,45.63,profit_lock_10%,10.08,-1.62,10.0,2025-07-29 00:00:00+00:00,2025-07-31 00:00:00+00:00,2025-07-29,2025-08-21,339,0.1147027332727811,14061.72,122916.36,11.4401,7.79,8.22,profit_lock_10%,1406.85,1373.41,9.767,33.44,15468.57,27.3467
569190,SNY,FDA approves Sanofi’s Rilzabrutinib for immune thrombocytopenia?,1,llm,0.76,YES,5.0,5.0,Sanofi FDA Approval,0.9,train,2025-07-29,0.76,49.35,2025-07-31,46.35,trailing_3.9ATR,0.0,-9.36,-6.08,2025-07-29 00:00:00+00:00,2025-07-31 00:00:00+00:00,2025-07-29,2025-08-29,285,0.1147027332727811,14064.75,122885.15,11.4454,7.78,8.03,trailing_3.9ATR,-855.0,-885.73,-6.2975,30.73,13209.75,23.3533
569187,PGEN,FDA approves Precigen’s PRGN-2012 for recurrent respiratory papillomatosis?,1,llm,0.775,YES,4.0,4.0,Precigen FDA Approval,0.95,train,2025-07-29,0.775,1.57,2025-07-31,1.84,profit_lock_17%,17.83,0.0,17.0,2025-07-29 00:00:00+00:00,2025-07-31 00:00:00+00:00,2025-07-29,2025-08-27,8947,0.1147027332727811,14046.79,122869.34,11.4323,7.78,38.34,profit_lock_17%,2415.69,2321.01,16.5234,94.68,16462.48,29.0507
569208,BIIB,FDA approves Leqembi auto-injection for early Alzheimer’s?,1,llm,0.775,YES,5.0,5.0,Eisai and Biogen Alzheimer's Approval,0.95,train,2025-07-29,0.775,127.9,2025-08-01,134.3,profit_lock_5%,5.89,-2.61,5.0,2025-07-29 00:00:00+00:00,2025-08-01 00:00:00+00:00,2025-07-29,2025-08-31,110,0.1147027332727811,14069.0,122900.35,11.4475,7.78,7.42,profit_lock_5%,704.0,672.89,4.7828,31.11,14773.0,26.6431
569186,TLX,FDA approves Telix Pharmaceuticals’ TLX250-CDx for kidney cancer imaging?,1,llm,0.815,YES,5.0,5.0,Telix Pharmaceuticals FDA Approval,0.95,train,2025-07-29,0.815,13.49,2025-08-01,14.16,profit_lock_5%,5.04,-4.38,5.0,2025-07-29 00:00:00+00:00,2025-08-01 00:00:00+00:00,2025-07-29,2025-08-27,1042,0.1147027332727811,14056.58,122823.22,11.4446,7.79,10.68,profit_lock_5%,698.14,660.52,4.699,37.62,14754.72,26.6043
569182,TNXP,FDA approves Tonix Pharmaceuticals’ TNX-102 SL for fibromyalgia?,1,llm,0.805,YES,4.0,4.0,Tonix Pharmaceuticals FDA Approval,0.95,train,2025-07-29,0.805,42.63,2025-08-04,44.64,poly<0.5637677634601008,2.63,-16.35,4.71,2025-07-29 00:00:00+00:00,2025-08-04 00:00:00+00:00,2025-07-29,2025-08-15,232,0.1147027332727811,9890.16,122804.76,8.0536,5.58,5.76,poly<0.5637677634601008,466.32,443.18,4.481,23.14,10356.48,18.3384
569209,TVTX,FDA approves FILSPARI REMS modification?,1,llm,0.795,YES,4.0,4.0,Travere Therapeutics FILSPARI REMS,0.9,train,2025-07-31,0.795,15.45,2025-08-05,16.07,profit_lock_4%,4.85,-2.72,4.0,2025-07-31 00:00:00+00:00,2025-08-05 00:00:00+00:00,2025-07-29,2025-08-28,925,0.1147027332727811,14291.25,124831.21,11.4485,7.9,10.38,profit_lock_4%,573.5,536.36,3.7531,37.14,14864.75,26.4977
569189,OTLK,FDA approves Outlook Therapeutics’ ONS-5010 for wet AMD?,1,llm,0.755,NO,4.0,4.0,Outlook Therapeutics FDA Approval,0.95,train,2025-08-15,0.755,2.34,2025-08-19,3.02,profit_lock_29%,29.02,-5.13,29.0,2025-08-15 00:00:00+00:00,2025-08-19 00:00:00+00:00,2025-07-29,2025-08-31,6442,0.1147027332727811,15074.28,131771.29,11.4397,8.32,30.08,profit_lock_29%,4380.56,4299.29,28.5207,81.27,19454.84,34.0992
598106,FDX,Will Fedex (FDX) beat its quarterly EPS estimate?,1,llm,0.76,YES,6.0,6.0,FedEx Earnings,1.0,train,2025-09-16,0.76,183.48,2025-09-18,182.51,poly<0.5637677634601008,2.27,-1.46,-0.53,2025-09-16 00:00:00+00:00,2025-09-18 00:00:00+00:00,2025-09-15,2025-09-25,87,0.1147027332727811,15962.76,139623.8,11.4327,8.78,8.33,poly<0.5637677634601008,-84.39,-118.51,-0.7424,34.12,15878.37,26.6434
598107,MU,Will Micron Tech (MU) beat its quarterly EPS estimate?,1,llm,0.775,YES,6.0,6.0,Micron Technology Earnings,1.0,train,2025-09-15,0.775,157.77,2025-09-19,170.39,profit_lock_8%,8.04,-1.59,8.0,2025-09-15 00:00:00+00:00,2025-09-19 00:00:00+00:00,2025-09-15,2025-09-30,101,0.1147027332727811,15934.77,139714.78,11.4052,8.77,8.32,profit_lock_8%,1274.62,1239.15,7.7764,35.47,17209.39,28.6828
598111,JBL,Will Jabil (JBL) beat its quarterly EPS estimate?,1,llm,0.8,YES,5.0,5.0,Jabil Earnings,0.9,train,2025-09-17,0.8,213.64,2025-09-19,226.46,profit_lock_6%,6.01,-2.45,6.0,2025-09-17 00:00:00+00:00,2025-09-19 00:00:00+00:00,2025-09-15,2025-10-02,74,0.1147027332727811,15809.36,139613.61,11.3237,8.78,8.25,profit_lock_6%,948.68,913.74,5.7797,34.94,16758.04,27.9305
598104,GIS,Will General Mills (GIS) beat its quarterly EPS estimate?,1,llm,0.91,YES,6.0,6.0,General Mills Earnings,1.0,train,2025-09-16,0.91,49.56,2025-09-23,50.56,resolution-1d,2.44,-2.3,2.02,2025-09-16 00:00:00+00:00,2025-09-23 00:00:00+00:00,2025-09-15,2025-09-24,322,0.1147027332727811,15958.32,139641.67,11.4281,8.76,9.11,resolution-1d,322.0,285.93,1.7917,36.07,16280.32,27.1851
599650,CASH,Will Pathward Financial (CASH) beat its quarterly EPS estimate?,1,llm,0.765,NO,4.0,4.0,Pathward Financial Earnings,1.0,train,2025-09-17,0.765,75.72,2025-09-24,77.99,profit_lock_3%,3.29,-1.93,3.0,2025-09-17 00:00:00+00:00,2025-09-24 00:00:00+00:00,2025-09-16,2025-10-22,211,0.1147027332727811,15976.92,139596.57,11.4451,8.7,8.73,profit_lock_3%,478.97,443.55,2.7762,35.42,16455.89,27.5757
599651,MLKN,Will MillerKnoll (MLKN) beat its quarterly EPS estimate?,1,llm,0.77,YES,5.0,5.0,MillerKnoll Earnings,1.0,train,2025-09-18,0.77,20.44,2025-09-24,18.36,trailing_3.9ATR,2.05,-17.81,-10.16,2025-09-18 00:00:00+00:00,2025-09-24 00:00:00+00:00,2025-09-16,2025-09-30,795,0.1147027332727811,16249.8,141986.97,11.4446,8.94,10.91,trailing_3.9ATR,-1653.6,-1691.58,-10.4098,37.98,14596.2,24.4558
598110,ACN,Will Accenture (ACN) beat its quarterly EPS estimate?,1,llm,0.75,YES,6.0,6.0,Accenture Earnings,1.0,train,2025-09-15,0.75,237.87,2025-09-30,247.38,profit_lock_4%,4.73,-3.56,4.0,2025-09-15 00:00:00+00:00,2025-09-30 00:00:00+00:00,2025-09-15,2025-10-02,67,0.1147027332727811,15937.29,139731.91,11.4056,8.81,8.32,profit_lock_4%,637.17,602.31,3.7793,34.86,16574.46,27.5776
599652,PRGS,Will Progress Software (PRGS) beat its quarterly EPS estimate?,1,llm,0.825,YES,5.0,5.0,Progress Software Earnings,1.0,train,2025-09-18,0.825,43.45,2025-10-01,46.49,profit_lock_7%,7.48,-7.27,7.0,2025-09-18 00:00:00+00:00,2025-10-01 00:00:00+00:00,2025-09-16,2025-10-06,374,0.1147027332727811,16250.3,142005.34,11.4434,8.94,9.43,profit_lock_7%,1136.96,1099.07,6.7634,37.89,17387.26,28.7903
613049,LEVI,Will Levi Strauss & Co. (LEVI) beat quarterly earnings?,1,llm,0.825,YES,5.0,5.0,Levi Strauss Earnings,1.0,train,2025-09-26,0.825,23.02,2025-10-02,24.4,profit_lock_6%,6.08,-1.39,6.0,2025-09-26 00:00:00+00:00,2025-10-02 00:00:00+00:00,2025-09-26,2025-10-09,697,0.1147027332727811,16044.94,140145.28,11.4488,8.81,10.46,profit_lock_6%,961.86,922.33,5.7484,39.53,17006.8,28.0431
613057,C,Will Citigroup (C) beat quarterly earnings?,1,llm,0.805,YES,6.0,6.0,Citigroup Earnings,0.95,train,2025-09-26,0.805,103.42,2025-10-02,97.15,trailing_3.9ATR,0.94,-6.5,-6.07,2025-09-26 00:00:00+00:00,2025-10-02 00:00:00+00:00,2025-09-26,2025-10-14,120,0.1147027332727811,12410.4,140126.01,8.8566,6.92,6.63,trailing_3.9ATR,-752.4,-778.7,-6.2745,26.3,11658.0,19.2252
613050,PEP,Will PepsiCo (PEP) beat quarterly earnings?,1,llm,0.8,YES,6.0,6.0,PepsiCo Earnings,1.0,train,2025-09-26,0.8,140.44,2025-10-07,140.79,resolution-1d,2.09,-1.11,0.25,2025-09-26 00:00:00+00:00,2025-10-07 00:00:00+00:00,2025-09-26,2025-10-09,114,0.1147027332727811,16010.16,140162.48,11.4226,8.79,8.4,resolution-1d,39.9,5.47,0.0342,34.43,16050.06,26.522
613051,DAL,Will Delta Air Lines (DAL) beat quarterly earnings?,1,llm,0.795,YES,6.0,6.0,Delta Air Lines Earnings,1.0,train,2025-10-02,0.795,57.08,2025-10-07,56.63,resolution-1d,2.54,-2.24,-0.79,2025-10-02 00:00:00+00:00,2025-10-07 00:00:00+00:00,2025-09-26,2025-10-09,281,0.1147027332727811,16039.48,140402.15,11.424,8.85,9.0,resolution-1d,-126.45,-161.98,-1.0099,35.53,15913.03,26.2946
620032,NRIX,Will Nurix Therapeutics (NRIX) beat quarterly earnings?,1,llm,0.83,YES,3.0,3.0,Nurix Therapeutics Earnings,0.95,train,2025-10-06,0.83,9.95,2025-10-07,9.83,resolution-1d,0.0,-5.23,-1.21,2025-10-06 00:00:00+00:00,2025-10-07 00:00:00+00:00,2025-10-04,2025-10-09,1,0.1147027332727811,9.95,140747.74,0.0071,0.0,0.35,resolution-1d,-0.12,-1.18,-11.8568,1.06,9.83,0.0151
613052,JPM,Will JPMorgan Chase (JPM) beat quarterly earnings?,1,llm,0.79,YES,6.0,6.0,JPMorgan Chase Earnings,1.0,train,2025-09-26,0.79,316.06,2025-10-10,300.89,resolution-1d,0.62,-4.83,-4.8,2025-09-26 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-26,2025-10-14,50,0.1147027332727811,15803.0,140231.45,11.2692,8.83,8.25,resolution-1d,-758.5,-791.73,-5.01,33.23,15044.5,25.4934
613056,GS,Will Goldman Sachs (GS) beat quarterly earnings?,1,llm,0.775,YES,6.0,6.0,Goldman Sachs Earnings,1.0,train,2025-09-26,0.775,802.51,2025-10-10,764.36,resolution-1d,0.89,-4.8,-4.75,2025-09-26 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-26,2025-10-14,20,0.1147027332727811,16050.2,140197.16,11.4483,8.83,8.38,resolution-1d,-763.0,-796.61,-4.9633,33.61,15287.2,25.9047
613055,WFC,Will Wells Fargo (WFC) beat quarterly earnings?,1,llm,0.86,YES,6.0,6.0,Wells Fargo Earnings,1.0,train,2025-09-26,0.86,85.01,2025-10-10,78.92,trailing_3.9ATR,0.21,-8.69,-7.17,2025-09-26 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-26,2025-10-14,188,0.1147027332727811,15981.88,140179.95,11.401,8.83,8.65,trailing_3.9ATR,-1144.92,-1178.65,-7.3749,33.73,14836.96,25.1412
613066,DPZ,Will Domino’s Pizza (DPZ) beat quarterly earnings?,1,llm,0.745,YES,5.0,5.0,Domino's Pizza Earnings,0.95,train,2025-10-01,0.745,428.16,2025-10-10,406.37,resolution-1d,1.13,-5.56,-5.09,2025-10-01 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-26,2025-10-14,37,0.1147027332727811,15841.92,140992.02,11.236,8.87,8.27,resolution-1d,-806.23,-839.52,-5.2993,33.29,15035.69,25.4784
614609,IBKR,Will Interactive Brokers Group (IBKR) beat quarterly earnings?,1,llm,0.82,YES,5.0,5.0,Interactive Brokers Group Earnings,0.95,train,2025-10-03,0.82,70.36,2025-10-10,72.47,profit_lock_3%,3.35,-2.56,3.0,2025-10-03 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-27,2025-10-16,229,0.1147027332727811,16112.44,140737.95,11.4485,8.85,8.86,profit_lock_3%,483.19,447.28,2.776,35.91,16595.63,28.1212
619557,TFC,Will Truist Financial (TFC) beat quarterly earnings?,1,llm,0.8,YES,6.0,6.0,Truist Financial Earnings,0.98,train,2025-10-06,0.8,45.33,2025-10-10,42.35,trailing_3.9ATR,1.43,-6.68,-6.57,2025-10-06 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-10-04,2025-10-17,323,0.1147027332727811,14641.59,140764.27,10.4015,8.09,8.45,trailing_3.9ATR,-962.54,-994.61,-6.7931,32.07,13679.05,23.1781
619538,KEY,Will Key (KEY) beat quarterly earnings?,1,llm,0.79,YES,6.0,6.0,KeyCorp Earnings,0.98,train,2025-10-08,0.79,18.09,2025-10-14,18.01,resolution-1d,1.11,-5.03,-0.44,2025-10-08 00:00:00+00:00,2025-10-14 00:00:00+00:00,2025-10-04,2025-10-16,884,0.1147027332727811,15991.56,139702.17,11.4469,8.81,11.09,resolution-1d,-70.72,-110.42,-0.6905,39.7,15920.84,26.5904
627451,AXP,Will American Express (AXP) beat quarterly earnings?,1,llm,0.845,YES,7.0,7.0,American Express Earnings,0.99,train,2025-10-08,0.845,323.82,2025-10-15,333.53,profit_lock_3%,3.86,-2.43,3.0,2025-10-08 00:00:00+00:00,2025-10-15 00:00:00+00:00,2025-10-08,2025-10-17,49,0.1147027332727811,15867.18,139682.27,11.3595,8.8,8.28,profit_lock_3%,475.79,441.22,2.7807,34.57,16342.97,27.1088
627753,LVS,Will Las Vegas Sands (LVS) beat quarterly earnings?,1,llm,0.755,NO,6.0,6.0,Las Vegas Sands Earnings,1.0,train,2025-10-13,0.755,46.47,2025-10-15,48.33,profit_lock_4%,4.17,-1.21,4.0,2025-10-13 00:00:00+00:00,2025-10-15 00:00:00+00:00,2025-10-09,2025-10-22,343,0.1147027332727811,15939.21,139434.48,11.4313,8.76,9.17,profit_lock_4%,637.98,601.47,3.7735,36.51,16577.19,27.496
627739,AAL,Will American Airlines Group (AAL) beat quarterly earnings?,1,llm,0.85,YES,6.0,6.0,American Airlines Earnings,1.0,train,2025-10-13,0.85,11.74,2025-10-15,12.21,profit_lock_4%,4.6,-1.87,4.0,2025-10-13 00:00:00+00:00,2025-10-15 00:00:00+00:00,2025-10-10,2025-10-23,1360,0.1147027332727811,15966.4,139398.4,11.4538,8.77,12.74,profit_lock_4%,639.2,595.52,3.7299,43.68,16605.6,27.5372
