market_id,symbol,question,polarity,polarity_source,pct,converged,asset_confidence,question_confidence,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_candidate_order,allocation_mode,event_family,event_priority,feat_runup_since_t0,rank_runup_clipped,entry_prob_rank_value,supporting_market_ids,supporting_questions,same_day_rank,entry_prob_rank,runup_rank,skip_reason,preempted_trade_id,preempt_reason,duplicate_signal_upgrade,_qty,_position_size_pct,_asset_entry_notional,_equity_at_entry,invested_frac_pct,_benchmark_sell_cost,_asset_buy_cost,allocation_trade_id,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
507493,ZIM,Longshoremen east coast strike by Oct 1?,1,override,0.87,YES,5.0,5.0,US East Coast Port Strike Exposure,0.63,train,2024-09-25,0.87,23.53,2024-09-30,25.66,resolution-1d,6.8,-5.99,9.05,2024-09-25 00:00:00+00:00,2024-09-30 00:00:00+00:00,2024-09-20,2024-10-01,7,event_priority,geo,0,-0.017148475457441248,-0.017148,0.87,,,1,1,1,,,,0,509,0.11475557931764958,11976.77,104672.03,11.4422,6.69,7.77,1,resolution-1d,1084.17,1054.16,8.8017,30.01,13060.94,26.7285
508672,USO,Israel strikes Iranian oil in October?,1,llm,0.8,NO,5.0,5.0,Middle East Geopolitical Oil Risk,0.8,train,2024-10-02,0.8,72.76,2024-10-07,79.2,poly<0.5725772170351875,6.38,-1.57,8.85,2024-10-02 00:00:00+00:00,2024-10-07 00:00:00+00:00,2024-10-02,2024-10-31,10,event_priority,geo,0,0.0,0.0,0.8,,,1,1,1,,,,0,165,0.11475557931764958,12005.4,104824.49,11.4529,6.69,6.58,2,poly<0.5725772170351875,1062.6,1034.98,8.6209,27.62,13068.0,27.0766
508672,XLE,Israel strikes Iranian oil in October?,1,llm,0.8,NO,,0.0,Middle East Geopolitical Oil Risk,0.64,train,2024-10-02,0.8,45.36,2024-10-07,46.76,poly<0.5725772170351875,3.03,-1.11,3.08,2024-10-02 00:00:00+00:00,2024-10-07 00:00:00+00:00,2024-10-02,2024-10-31,11,event_priority,geo,0,0.0,0.0,0.8,,,2,1,1,,,,0,264,0.11475557931764958,11975.04,104811.23,11.4253,6.69,6.91,3,poly<0.5725772170351875,369.6,342.05,2.8563,27.55,12344.64,25.577
550768,MRK,FDA approves Merck’s clesrovimab infant RSV prevention (MK‑1654)?,1,llm,0.88,YES,6.0,6.0,Merck FDA Approval,0.95,train,2025-06-09,0.88,79.33,2025-06-13,81.71,profit_lock_3%,3.5,-0.83,3.0,2025-06-09 00:00:00+00:00,2025-06-13 00:00:00+00:00,2025-06-09,2025-06-17,17,event_priority,other,3,0.00455870083305987,0.004559,0.88,,,1,1,1,,,,0,168,0.11475557931764958,13327.44,116931.32,11.3977,7.41,7.25,4,profit_lock_3%,399.84,370.14,2.7773,29.7,13727.28,26.0214
551649,USO,Israel military action against Iran before August?,1,llm,1.0,YES,5.0,5.0,Israel-Iran Conflict,0.54,train,2025-06-13,1.0,80.22,2025-06-18,82.63,profit_lock_3%,3.33,-4.95,3.0,2025-06-13 00:00:00+00:00,2025-06-18 00:00:00+00:00,2025-06-12,2025-07-31,18,event_priority,geo,0,0.0030740892524956376,0.003074,1.0,552109|552109|552110|552110,Israel strike on Iran on June 14? || Israel strike on Iran on June 14? || Israel strike on Iran on June 15? || Israel strike on Iran on June 15?,1,1,1,,,,0,166,0.11475557931764958,13316.52,116571.97,11.4234,7.37,7.24,5,profit_lock_3%,400.06,370.43,2.7817,29.63,13716.58,25.9014
552114,XLE,Israel strike on Iran on June 19?,1,llm,0.875,YES,,0.0,Middle East Oil Disruption,0.52,train,2025-06-16,0.875,43.92,2025-06-18,44.04,resolution-1d,1.68,-0.75,0.27,2025-06-16 00:00:00+00:00,2025-06-18 00:00:00+00:00,2025-06-13,2025-06-20,29,event_priority,geo,0,0.0,0.0,0.875,552115,Israel strike on Iran on June 20?,5,3,1,,,,0,307,0.11475557931764958,13483.44,117722.21,11.4536,7.46,7.82,6,resolution-1d,36.84,6.25,0.0463,30.59,13520.28,25.5297
554000,USO,Israel strike on Iran on June 24?,1,llm,0.925,YES,6.0,6.0,Middle East Oil Disruption,0.585,train,2025-06-20,0.925,83.12,2025-06-23,76.41,resolution-1d,0.0,-8.07,-8.07,2025-06-20 00:00:00+00:00,2025-06-23 00:00:00+00:00,2025-06-20,2025-06-25,66,event_priority,geo,0,0.010331908814867674,0.010332,0.925,554000|554001|554001|554002|554002|552099|552099|554003|554003|554005|554005,Israel strike on Iran on June 24? || Israel strike on Iran on June 25? || Israel strike on Iran on June 25? || Israel strike on Iran on June 26? || Israel strike on Iran on June 26? || Israel military action against Iran in July? || Israel military action against Iran in July? || Israel strike on Iran on June 27? || Israel strike on Iran on June 27? || Israel strike on Iran on June 29? || Israel strike on Iran on June 29?,1,1,1,,,,0,161,0.11475557931764958,13382.32,117000.09,11.4379,7.43,7.25,7,resolution-1d,-1080.31,-1108.54,-8.2836,28.23,12302.01,23.1138
554000,XLE,Israel strike on Iran on June 24?,1,llm,0.925,YES,,0.0,Middle East Oil Disruption,0.52,train,2025-06-20,0.925,44.49,2025-06-23,43.01,resolution-1d,0.0,-3.73,-3.32,2025-06-20 00:00:00+00:00,2025-06-23 00:00:00+00:00,2025-06-20,2025-06-25,71,event_priority,geo,0,0.010218000762592938,0.010218,0.925,554001|554002|554003|554005,Israel strike on Iran on June 25? || Israel strike on Iran on June 26? || Israel strike on Iran on June 27? || Israel strike on Iran on June 29?,3,1,11,,,,0,301,0.11475557931764958,13391.49,116985.4,11.4471,7.42,7.75,8,resolution-1d,-445.48,-475.35,-3.5497,29.87,12946.01,24.323
553540,USO,Will the U.S. strike Fordow nuclear facility before July?,1,llm,1.0,YES,7.0,7.0,Middle East Oil Disruption,0.72,train,2025-06-23,1.0,76.41,2025-06-27,73.28,resolution-1d,0.0,-5.81,-4.1,2025-06-23 00:00:00+00:00,2025-06-27 00:00:00+00:00,2025-06-18,2025-07-01,49,event_priority,geo,0,0.0,0.0,1.0,553540|554004|554004|554006|554006,Will the U.S. strike Fordow nuclear facility before July? || Israel strike on Iran on June 28? || Israel strike on Iran on June 28? || Israel strike on Iran on June 30? || Israel strike on Iran on June 30?,1,1,7,,,,0,174,0.11475557931764958,13295.34,116241.24,11.4377,7.38,7.26,9,resolution-1d,-544.62,-573.32,-4.3122,28.7,12750.72,23.2383
553540,XLE,Will the U.S. strike Fordow nuclear facility before July?,1,llm,1.0,YES,,0.0,Middle East Oil Disruption,0.64,train,2025-06-23,1.0,43.01,2025-06-27,42.65,resolution-1d,0.0,-2.06,-0.85,2025-06-23 00:00:00+00:00,2025-06-27 00:00:00+00:00,2025-06-18,2025-07-01,51,event_priority,geo,0,0.0,0.0,1.0,554004|554006,Israel strike on Iran on June 28? || Israel strike on Iran on June 30?,3,1,7,,,,0,309,0.11475557931764958,13290.09,116226.6,11.4346,7.37,7.73,10,resolution-1d,-111.24,-141.31,-1.0633,30.07,13178.85,24.0177
566029,REGN,Will the FDA approve Odronextamab/Ordspono Resubmitted BLA?,1,llm,0.9,YES,6.0,6.0,Regeneron FDA Approval,0.95,train,2025-07-23,0.9,572.39,2025-07-30,554.58,resolution-1d,0.93,-3.83,-3.11,2025-07-23 00:00:00+00:00,2025-07-30 00:00:00+00:00,2025-07-22,2025-07-31,94,event_priority,other,3,0.028229359617022443,0.028229,0.9,566029,Will the FDA approve Odronextamab/Ordspono Resubmitted BLA?,1,1,1,,,,0,24,0.11475557931764958,13737.36,121689.07,11.2889,7.7,7.22,11,resolution-1d,-427.44,-456.73,-3.3247,29.29,13309.92,23.4068
566025,ASND,Will the FDA approve TransCon hGH sBLA?,1,llm,0.815,YES,5.0,5.0,Ascendis Pharma FDA Approval,0.95,train,2025-07-28,0.815,164.16,2025-07-30,166.78,resolution-1d,1.12,-2.01,1.6,2025-07-28 00:00:00+00:00,2025-07-30 00:00:00+00:00,2025-07-22,2025-07-31,96,event_priority,other,3,-0.014760212613175172,-0.01476,0.815,566025,Will the FDA approve TransCon hGH sBLA?,1,1,1,,,,0,85,0.11475557931764958,13953.6,122172.4,11.4212,7.75,7.33,12,resolution-1d,222.7,192.36,1.3785,30.34,14176.3,24.9305
566028,PTCT,Will the FDA approve Sepiapterin NDA?,1,llm,0.795,YES,5.0,5.0,PTC Therapeutics FDA Approval,0.95,train,2025-07-28,0.795,44.34,2025-07-30,50.1,profit_lock_13%,13.87,-0.43,13.0,2025-07-28 00:00:00+00:00,2025-07-30 00:00:00+00:00,2025-07-22,2025-07-31,92,event_priority,other,3,-0.030714609317936015,-0.030715,0.795,566028,Will the FDA approve Sepiapterin NDA?,3,3,3,,,,0,315,0.11475557931764958,13967.1,122157.32,11.4337,7.72,8.09,13,profit_lock_13%,1814.4,1780.93,12.7509,33.47,15781.5,27.7523
569186,TLX,FDA approves Telix Pharmaceuticals’ TLX250-CDx for kidney cancer imaging?,1,llm,0.815,YES,5.0,5.0,Telix Pharmaceuticals FDA Approval,0.95,train,2025-07-29,0.815,13.49,2025-08-01,14.16,profit_lock_5%,5.04,-4.38,5.0,2025-07-29 00:00:00+00:00,2025-08-01 00:00:00+00:00,2025-07-29,2025-08-27,107,event_priority,other,3,-0.03366764081264251,-0.033668,0.815,569186,FDA approves Telix Pharmaceuticals’ TLX250-CDx for kidney cancer imaging?,1,1,5,,,,0,1049,0.11475557931764958,14151.01,123492.72,11.459,7.81,10.75,14,profit_lock_5%,702.83,664.99,4.6993,37.84,14853.84,26.783
569181,INSM,FDA approves Insmed’s Brensocatib for bronchiectasis?,1,llm,0.8,YES,6.0,6.0,Insmed FDA Approval,0.95,train,2025-07-29,0.8,105.0,2025-08-01,108.15,profit_lock_3%,3.47,-2.66,3.0,2025-07-29 00:00:00+00:00,2025-08-01 00:00:00+00:00,2025-07-29,2025-08-12,112,event_priority,other,3,0.03194103194103204,0.031941,0.8,569181,FDA approves Insmed’s Brensocatib for bronchiectasis?,7,7,1,,,,0,134,0.11475557931764958,14070.0,123441.69,11.3981,7.81,7.5,17,profit_lock_3%,422.1,391.08,2.7796,31.02,14492.1,26.1363
569182,TNXP,FDA approves Tonix Pharmaceuticals’ TNX-102 SL for fibromyalgia?,1,llm,0.805,YES,4.0,4.0,Tonix Pharmaceuticals FDA Approval,0.95,train,2025-07-29,0.805,42.63,2025-08-04,44.64,poly<0.5725772170351875,2.63,-16.35,4.71,2025-07-29 00:00:00+00:00,2025-08-04 00:00:00+00:00,2025-07-29,2025-08-15,110,event_priority,other,3,-0.0987314639380854,-0.098731,0.805,569182,FDA approves Tonix Pharmaceuticals’ TNX-102 SL for fibromyalgia?,5,3,7,,,,0,331,0.11475557931764958,14110.53,123457.72,11.4294,7.81,8.21,16,poly<0.5725772170351875,665.31,632.6,4.4832,32.71,14775.84,26.1641
569209,TVTX,FDA approves FILSPARI REMS modification?,1,llm,0.795,YES,4.0,4.0,Travere Therapeutics FILSPARI REMS,0.9,train,2025-07-31,0.795,15.45,2025-08-05,16.07,profit_lock_4%,4.85,-2.72,4.0,2025-07-31 00:00:00+00:00,2025-08-05 00:00:00+00:00,2025-07-29,2025-08-28,101,event_priority,other,3,0.008441566081890839,0.008442,0.795,,,1,1,1,,,,0,900,0.11475557931764958,13905.0,121442.66,11.4498,7.66,10.1,18,profit_lock_4%,558.0,521.88,3.7532,36.12,14463.0,25.7816
569210,IONS,FDA approves Donidalorsen?,1,llm,0.84,YES,5.0,5.0,Ionis Pharmaceuticals Donidalorsen Approval,0.9,train,2025-08-04,0.84,43.45,2025-08-05,43.05,poly<0.5725772170351875,0.0,-2.74,-0.92,2025-08-04 00:00:00+00:00,2025-08-05 00:00:00+00:00,2025-07-29,2025-08-21,100,event_priority,other,3,0.0075297883672205135,0.00753,0.84,,,2,2,1,,,,0,330,0.11475557931764958,14338.5,125093.39,11.4622,7.92,8.32,20,poly<0.5725772170351875,-132.0,-164.34,-1.1461,32.34,14206.5,25.3278
569179,LENZ,FDA approves LENZ Therapeutics’ LNZ100 for presbyopia by August 31?,1,llm,0.805,YES,5.0,5.0,LENZ Therapeutics FDA Approval,0.95,train,2025-07-29,0.805,31.67,2025-08-07,32.12,resolution-1d,2.81,-12.25,1.42,2025-07-29 00:00:00+00:00,2025-08-07 00:00:00+00:00,2025-07-29,2025-08-08,114,event_priority,other,3,0.005077748214849409,0.005078,0.805,569179,FDA approves LENZ Therapeutics’ LNZ100 for presbyopia by August 31?,3,3,3,,,,0,446,0.11475557931764958,14124.82,123474.17,11.4395,7.83,8.62,15,resolution-1d,200.7,167.62,1.1867,33.08,14325.52,25.1368
569190,SNY,FDA approves Sanofi’s Rilzabrutinib for immune thrombocytopenia?,1,llm,0.855,YES,5.0,5.0,Sanofi FDA Approval,0.9,train,2025-08-04,0.855,48.05,2025-08-18,49.97,profit_lock_4%,4.14,-3.98,4.0,2025-08-04 00:00:00+00:00,2025-08-18 00:00:00+00:00,2025-07-29,2025-08-29,103,event_priority,other,3,-0.0026273457824966817,-0.002627,0.855,,,1,1,2,,,,0,298,0.11475557931764958,14318.9,125109.51,11.4451,7.92,8.2,19,profit_lock_4%,572.16,539.35,3.7667,32.81,14891.06,25.7739
569208,BIIB,FDA approves Leqembi auto-injection for early Alzheimer’s?,1,llm,0.84,YES,5.0,5.0,Eisai and Biogen Alzheimer's Approval,0.95,train,2025-08-14,0.84,134.94,2025-08-19,140.34,profit_lock_4%,4.62,-2.06,4.0,2025-08-14 00:00:00+00:00,2025-08-19 00:00:00+00:00,2025-07-29,2025-08-31,102,event_priority,other,3,-0.010674483806067059,-0.010674,0.84,,,1,1,1,,,,0,110,0.11475557931764958,14843.4,129733.6,11.4414,8.21,7.81,21,profit_lock_4%,594.0,561.39,3.7821,32.61,15437.4,27.0883
569187,PGEN,FDA approves Precigen’s PRGN-2012 for recurrent respiratory papillomatosis?,1,llm,0.996,YES,4.0,4.0,Precigen FDA Approval,0.95,train,2025-08-15,0.996,2.94,2025-08-20,3.32,profit_lock_13%,13.61,-14.63,13.0,2025-08-15 00:00:00+00:00,2025-08-20 00:00:00+00:00,2025-07-29,2025-08-27,105,event_priority,other,3,-0.006329107716228521,-0.006329,0.996,569187,FDA approves Precigen’s PRGN-2012 for recurrent respiratory papillomatosis?,1,1,1,,,,0,5058,0.11475557931764958,14870.52,129896.97,11.4479,8.2,25.14,22,profit_lock_13%,1922.04,1853.41,12.4636,68.63,16792.56,29.6117
598107,MU,Will Micron Tech (MU) beat its quarterly EPS estimate?,1,llm,0.8,YES,6.0,6.0,Micron Technology Earnings,1.0,train,2025-09-16,0.8,158.82,2025-09-19,169.94,profit_lock_7%,7.32,-2.24,7.0,2025-09-16 00:00:00+00:00,2025-09-19 00:00:00+00:00,2025-09-15,2025-09-30,120,event_priority,earnings,2,0.0,0.0,0.8,,,2,2,1,,,,0,97,0.11475557931764958,15405.54,135690.66,11.3534,8.55,8.05,24,profit_lock_7%,1078.64,1044.41,6.7794,34.23,16484.18,27.474
598111,JBL,Will Jabil (JBL) beat its quarterly EPS estimate?,1,llm,0.8,YES,5.0,5.0,Jabil Earnings,0.9,train,2025-09-17,0.8,213.64,2025-09-19,226.46,profit_lock_6%,6.01,-2.45,6.0,2025-09-17 00:00:00+00:00,2025-09-19 00:00:00+00:00,2025-09-15,2025-10-02,121,event_priority,earnings,2,0.0,0.0,0.8,,,1,1,1,,,,0,72,0.11475557931764958,15382.08,135459.09,11.3555,8.55,8.04,25,profit_lock_6%,923.04,889.0,5.7795,34.04,16305.12,27.1756
