market_id,symbol,question,polarity,polarity_source,pct,converged,asset_confidence,question_confidence,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_equity_at_entry,invested_frac_pct,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
507493,ZIM,Longshoremen east coast strike by Oct 1?,1,override,0.725,YES,5.0,5.0,US East Coast Port Strike Exposure,0.63,train,2024-09-23,0.725,22.33,2024-09-25,23.67,profit_lock_6%,6.94,-8.2,6.0,2024-09-23 00:00:00+00:00,2024-09-25 00:00:00+00:00,2024-09-20,2024-10-01,561,0.12,12527.13,104519.72,11.9854,6.97,8.23,profit_lock_6%,751.74,720.59,5.7522,31.15,13278.87,23.2666
508672,USO,Israel strikes Iranian oil in October?,1,llm,0.8,NO,5.0,5.0,Middle East Geopolitical Oil Risk,0.8,train,2024-10-02,0.8,72.76,2024-10-07,79.2,poly<0.5347387666387801,6.38,-1.57,8.85,2024-10-02 00:00:00+00:00,2024-10-07 00:00:00+00:00,2024-10-02,2024-10-31,173,0.12,12587.48,105082.07,11.9787,7.01,6.9,poly<0.5347387666387801,1114.12,1085.18,8.6211,28.94,13701.6,24.1046
508672,XLE,Israel strikes Iranian oil in October?,1,llm,0.8,NO,,0.0,Middle East Geopolitical Oil Risk,0.64,train,2024-10-02,0.8,45.36,2024-10-07,46.76,poly<0.5347387666387801,3.03,-1.11,3.08,2024-10-02 00:00:00+00:00,2024-10-07 00:00:00+00:00,2024-10-02,2024-10-31,277,0.12,12564.72,105068.17,11.9586,7.0,7.25,poly<0.5347387666387801,387.8,358.93,2.8566,28.87,12952.52,22.786
550768,MRK,FDA approves Merck’s clesrovimab infant RSV prevention (MK‑1654)?,1,llm,0.88,YES,6.0,6.0,Merck FDA Approval,0.95,train,2025-06-09,0.88,79.33,2025-06-13,81.71,profit_lock_3%,3.5,-0.83,3.0,2025-06-09 00:00:00+00:00,2025-06-13 00:00:00+00:00,2025-06-09,2025-06-17,169,0.12,13406.77,112348.43,11.9332,7.45,7.29,profit_lock_3%,402.22,372.35,2.7774,29.87,13808.99,23.1053
552117,XLE,Strike on Israel's Dimonah nuclear base in June?,1,llm,0.725,NO,,0.0,Middle East Oil Disruption,0.56,train,2025-06-13,0.725,44.05,2025-06-16,43.92,poly<0.5347387666387801,0.0,-1.31,-0.3,2025-06-13 00:00:00+00:00,2025-06-16 00:00:00+00:00,2025-06-13,2025-06-30,305,0.12,13435.25,112264.23,11.9675,7.43,7.79,poly<0.5347387666387801,-39.65,-70.05,-0.5214,30.4,13395.6,22.2015
552114,XLE,Israel strike on Iran on June 19?,1,llm,0.785,YES,,0.0,Middle East Oil Disruption,0.52,train,2025-06-16,0.785,43.92,2025-06-18,44.04,resolution-1d,1.68,-0.75,0.27,2025-06-16 00:00:00+00:00,2025-06-18 00:00:00+00:00,2025-06-13,2025-06-20,307,0.12,13483.44,112734.45,11.9604,7.48,7.82,resolution-1d,36.84,6.23,0.0462,30.61,13520.28,22.6047
551649,USO,Israel military action against Iran before August?,1,llm,1.0,YES,5.0,5.0,Israel-Iran Conflict,0.54,train,2025-06-13,1.0,80.22,2025-06-20,83.43,profit_lock_4%,4.04,-4.95,4.0,2025-06-13 00:00:00+00:00,2025-06-20 00:00:00+00:00,2025-06-12,2025-07-31,167,0.12,13396.74,112278.94,11.9317,7.43,7.28,profit_lock_4%,536.07,506.11,3.7779,29.96,13932.81,23.4192
553038,UNCY,FDA approves Unicycive’s Oxylanthanum Carbonate (OLC)?,1,llm,0.79,NO,5.0,5.0,Unicycive Therapeutics Regulatory Approval,0.95,train,2025-06-18,0.79,6.68,2025-06-20,6.34,poly<0.5347387666387801,0.0,-27.54,-5.09,2025-06-18 00:00:00+00:00,2025-06-20 00:00:00+00:00,2025-06-18,2025-06-28,2019,0.12,13486.92,112606.81,11.977,7.47,13.81,poly<0.5347387666387801,-686.46,-728.3,-5.4001,41.84,12800.46,21.5048
554005,USO,Israel strike on Iran on June 29?,1,llm,0.795,NO,6.0,6.0,Middle East Oil Disruption,0.585,train,2025-06-20,0.795,83.12,2025-06-24,73.0,poly<0.5347387666387801,0.54,-13.41,-12.18,2025-06-20 00:00:00+00:00,2025-06-24 00:00:00+00:00,2025-06-20,2025-06-30,160,0.12,13299.2,111605.52,11.9163,7.42,7.21,poly<0.5347387666387801,-1619.2,-1646.74,-12.3822,27.54,11680.0,19.2279
554004,XLE,Israel strike on Iran on June 28?,1,llm,0.785,NO,,0.0,Middle East Oil Disruption,0.52,train,2025-06-20,0.785,44.49,2025-06-24,42.46,poly<0.5347387666387801,0.51,-4.93,-4.57,2025-06-20 00:00:00+00:00,2025-06-24 00:00:00+00:00,2025-06-20,2025-06-29,300,0.12,13347.0,111590.9,11.9607,7.38,7.72,poly<0.5347387666387801,-609.0,-638.58,-4.7845,29.58,12738.0,20.9689
554677,USO,Will Iran strike a U.S. facility by Monday June  30?,1,llm,0.795,YES,6.0,6.0,Middle East Oil Disruption,0.675,train,2025-06-24,0.795,73.0,2025-06-27,73.28,resolution-1d,2.3,-1.41,0.38,2025-06-24 00:00:00+00:00,2025-06-27 00:00:00+00:00,2025-06-22,2025-06-30,182,0.12,13286.0,111106.0,11.958,7.37,7.28,resolution-1d,50.96,21.62,0.1627,29.34,13336.96,21.6654
554677,XLE,Will Iran strike a U.S. facility by Monday June  30?,1,llm,0.795,YES,,0.0,Middle East Oil Disruption,0.6,train,2025-06-24,0.795,42.46,2025-06-27,42.65,resolution-1d,1.19,-0.77,0.46,2025-06-24 00:00:00+00:00,2025-06-27 00:00:00+00:00,2025-06-22,2025-06-30,313,0.12,13289.98,111091.34,11.9631,7.37,7.74,resolution-1d,59.47,29.2,0.2197,30.27,13349.45,21.6849
566029,REGN,Will the FDA approve Odronextamab/Ordspono Resubmitted BLA?,1,llm,0.775,YES,6.0,6.0,Regeneron FDA Approval,0.95,train,2025-07-22,0.775,560.93,2025-07-30,554.58,resolution-1d,3.0,-2.5,-1.13,2025-07-22 00:00:00+00:00,2025-07-30 00:00:00+00:00,2025-07-22,2025-07-31,24,0.12,13462.32,114835.47,11.7231,7.61,7.08,resolution-1d,-152.4,-181.46,-1.3479,29.06,13309.92,20.9557
566028,PTCT,Will the FDA approve Sepiapterin NDA?,1,llm,0.73,YES,5.0,5.0,PTC Therapeutics FDA Approval,0.95,train,2025-07-25,0.73,44.74,2025-07-30,50.11,profit_lock_12%,12.85,-1.32,12.0,2025-07-25 00:00:00+00:00,2025-07-30 00:00:00+00:00,2025-07-22,2025-07-31,311,0.12,13914.14,116200.46,11.9743,7.71,8.05,profit_lock_12%,1670.07,1636.86,11.764,33.21,15584.21,24.5355
566025,ASND,Will the FDA approve TransCon hGH sBLA?,1,llm,0.695,YES,5.0,5.0,Ascendis Pharma FDA Approval,0.95,train,2025-07-28,0.695,164.16,2025-07-30,166.78,resolution-1d,1.12,-2.01,1.6,2025-07-28 00:00:00+00:00,2025-07-30 00:00:00+00:00,2025-07-22,2025-07-31,84,0.12,13789.44,115930.74,11.8946,7.69,7.24,resolution-1d,220.08,190.06,1.3783,30.02,14009.52,22.0572
