market_id,symbol,question,polarity,polarity_source,pct,converged,asset_confidence,question_confidence,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_candidate_order,allocation_mode,event_family,event_priority,feat_runup_since_t0,rank_runup_clipped,entry_prob_rank_value,supporting_market_ids,supporting_questions,same_day_rank,entry_prob_rank,runup_rank,skip_reason,preempted_trade_id,preempt_reason,duplicate_signal_upgrade,_qty,_position_size_pct,_asset_entry_notional,_equity_at_entry,invested_frac_pct,_benchmark_sell_cost,_asset_buy_cost,allocation_trade_id,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
507493,ZIM,Longshoremen east coast strike by Oct 1?,1,override,0.725,YES,5.0,5.0,US East Coast Port Strike Exposure,0.63,train,2024-09-23,0.725,22.33,2024-09-25,23.67,profit_lock_6%,6.94,-8.2,6.0,2024-09-23 00:00:00+00:00,2024-09-25 00:00:00+00:00,2024-09-20,2024-10-01,7,event_priority,geo,0,-0.017148475457441248,-0.017148,0.725,,,1,1,1,,,,0,561,0.12,12527.13,104519.72,11.9854,6.97,8.23,1,profit_lock_6%,751.74,720.59,5.7522,31.15,13278.87,23.2666
508672,USO,Israel strikes Iranian oil in October?,1,llm,0.8,NO,5.0,5.0,Middle East Geopolitical Oil Risk,0.8,train,2024-10-02,0.8,72.76,2024-10-07,79.2,poly<0.5277193766613703,6.38,-1.57,8.85,2024-10-02 00:00:00+00:00,2024-10-07 00:00:00+00:00,2024-10-02,2024-10-31,10,event_priority,geo,0,0.0,0.0,0.8,,,1,1,1,,,,0,173,0.12,12587.48,105082.07,11.9787,7.01,6.9,2,poly<0.5277193766613703,1114.12,1085.18,8.6211,28.94,13701.6,24.1046
508672,XLE,Israel strikes Iranian oil in October?,1,llm,0.8,NO,,0.0,Middle East Geopolitical Oil Risk,0.64,train,2024-10-02,0.8,45.36,2024-10-07,46.76,poly<0.5277193766613703,3.03,-1.11,3.08,2024-10-02 00:00:00+00:00,2024-10-07 00:00:00+00:00,2024-10-02,2024-10-31,11,event_priority,geo,0,0.0,0.0,0.8,,,2,1,1,,,,0,277,0.12,12564.72,105068.17,11.9586,7.0,7.25,3,poly<0.5277193766613703,387.8,358.93,2.8566,28.87,12952.52,22.786
550768,MRK,FDA approves Merck’s clesrovimab infant RSV prevention (MK‑1654)?,1,llm,0.88,YES,6.0,6.0,Merck FDA Approval,0.95,train,2025-06-09,0.88,79.33,2025-06-13,81.71,profit_lock_3%,3.5,-0.83,3.0,2025-06-09 00:00:00+00:00,2025-06-13 00:00:00+00:00,2025-06-09,2025-06-17,17,event_priority,other,3,0.00455870083305987,0.004559,0.88,,,1,1,1,,,,0,169,0.12,13406.77,112348.43,11.9332,7.45,7.29,4,profit_lock_3%,402.22,372.35,2.7774,29.87,13808.99,23.1053
552117,XLE,Strike on Israel's Dimonah nuclear base in June?,1,llm,0.725,NO,,0.0,Middle East Oil Disruption,0.56,train,2025-06-13,0.725,44.05,2025-06-16,43.92,poly<0.5277193766613703,0.0,-1.31,-0.3,2025-06-13 00:00:00+00:00,2025-06-16 00:00:00+00:00,2025-06-13,2025-06-30,27,event_priority,geo,0,0.0,0.0,0.725,,,12,10,2,,,,0,305,0.12,13435.25,112264.23,11.9675,7.43,7.79,6,poly<0.5277193766613703,-39.65,-70.05,-0.5214,30.4,13395.6,22.2015
552114,XLE,Israel strike on Iran on June 19?,1,llm,0.785,YES,,0.0,Middle East Oil Disruption,0.52,train,2025-06-16,0.785,43.92,2025-06-18,44.04,resolution-1d,1.68,-0.75,0.27,2025-06-16 00:00:00+00:00,2025-06-18 00:00:00+00:00,2025-06-13,2025-06-20,29,event_priority,geo,0,0.0,0.0,0.785,552115,Israel strike on Iran on June 20?,3,1,1,,,,0,307,0.12,13483.44,112734.45,11.9604,7.48,7.82,7,resolution-1d,36.84,6.23,0.0462,30.61,13520.28,22.6047
551649,USO,Israel military action against Iran before August?,1,llm,1.0,YES,5.0,5.0,Israel-Iran Conflict,0.54,train,2025-06-13,1.0,80.22,2025-06-20,83.43,profit_lock_4%,4.04,-4.95,4.0,2025-06-13 00:00:00+00:00,2025-06-20 00:00:00+00:00,2025-06-12,2025-07-31,18,event_priority,geo,0,0.0030740892524956376,0.003074,1.0,552109|552109|552110|552110|552111|552111|552112|552112|552117|552117,Israel strike on Iran on June 14? || Israel strike on Iran on June 14? || Israel strike on Iran on June 15? || Israel strike on Iran on June 15? || Israel strike on Iran on June 16? || Israel strike on Iran on June 16? || Israel strike on Iran on June 17? || Israel strike on Iran on June 17? || Strike on Israel's Dimonah nuclear base in June? || Strike on Israel's Dimonah nuclear base in June?,1,1,1,,,,0,167,0.12,13396.74,112278.94,11.9317,7.43,7.28,5,profit_lock_4%,536.07,506.11,3.7779,29.96,13932.81,23.4192
553038,UNCY,FDA approves Unicycive’s Oxylanthanum Carbonate (OLC)?,1,llm,0.79,NO,5.0,5.0,Unicycive Therapeutics Regulatory Approval,0.95,train,2025-06-18,0.79,6.68,2025-06-20,6.34,poly<0.5277193766613703,0.0,-27.54,-5.09,2025-06-18 00:00:00+00:00,2025-06-20 00:00:00+00:00,2025-06-18,2025-06-28,52,event_priority,other,3,-0.11405837372219974,-0.114058,0.79,553038,FDA approves Unicycive’s Oxylanthanum Carbonate (OLC)?,3,1,3,,,,0,2019,0.12,13486.92,112606.81,11.977,7.47,13.81,8,poly<0.5277193766613703,-686.46,-728.3,-5.4001,41.84,12800.46,21.5048
554000,USO,Israel strike on Iran on June 24?,1,llm,0.925,YES,6.0,6.0,Middle East Oil Disruption,0.585,train,2025-06-20,0.925,83.12,2025-06-23,76.41,resolution-1d,0.0,-8.07,-8.07,2025-06-20 00:00:00+00:00,2025-06-23 00:00:00+00:00,2025-06-20,2025-06-25,66,event_priority,geo,0,0.010331908814867674,0.010332,0.925,554000|554001|554001|554002|554002|554003|554003|554005|554005|554004|554004|554006|554006,Israel strike on Iran on June 24? || Israel strike on Iran on June 25? || Israel strike on Iran on June 25? || Israel strike on Iran on June 26? || Israel strike on Iran on June 26? || Israel strike on Iran on June 27? || Israel strike on Iran on June 27? || Israel strike on Iran on June 29? || Israel strike on Iran on June 29? || Israel strike on Iran on June 28? || Israel strike on Iran on June 28? || Israel strike on Iran on June 30? || Israel strike on Iran on June 30?,1,1,1,,,,0,160,0.12,13299.2,111605.52,11.9163,7.42,7.21,9,resolution-1d,-1073.6,-1101.7,-8.2839,28.1,12225.6,20.3485
554000,XLE,Israel strike on Iran on June 24?,1,llm,0.925,YES,,0.0,Middle East Oil Disruption,0.52,train,2025-06-20,0.925,44.49,2025-06-23,43.01,resolution-1d,0.0,-3.73,-3.32,2025-06-20 00:00:00+00:00,2025-06-23 00:00:00+00:00,2025-06-20,2025-06-25,71,event_priority,geo,0,0.010218000762592938,0.010218,0.925,554001|554002|554003|554005|554004|554006,Israel strike on Iran on June 25? || Israel strike on Iran on June 26? || Israel strike on Iran on June 27? || Israel strike on Iran on June 29? || Israel strike on Iran on June 28? || Israel strike on Iran on June 30?,3,1,15,,,,0,300,0.12,13347.0,111590.9,11.9607,7.38,7.72,10,resolution-1d,-444.0,-473.75,-3.5495,29.75,12903.0,21.4752
