experiment,benchmark,hurdle_realized_fitness_penalty,kelly,allocation_mode,fold,fit_start_date,fit_label_cutoff,fit_eval_end_date,fit_candidates,fit_latest_t_e,fit_cem_score,eval_start_date,eval_end_date,eval_candidates,eval_oof_score,eval_return_pct,eval_benchmark_return_pct,eval_excess_return_pct,eval_max_dd_pct,eval_trades,eval_policy_json
T1+T2,SPY,True,False,fifo,1,2024-07-29,2025-04-29,2025-04-28,16,2024-11-30,-5.377741,2025-04-29,2025-07-28,81,1.861694,11.8856,14.8466,-2.961,-2.646,9,"{""atr_mult"": 3.3807916853867646, ""enter_floor"": 0.7390597508288134, ""enter_strong"": 0.7465045780331018, ""hold_days"": 1, ""lock_activate"": 0.028157108432289937, ""max_concurrent"": 10, ""max_price_runup"": 0.08302112734457127, ""max_prob_surge"": 0.38278355595254826, ""position_size_pct"": 0.11978584266340359, ""theta_out"": 0.5441435978493911}"
T1+T2,SPY,True,False,fifo,2,2024-07-29,2025-07-29,2025-07-28,85,2025-07-01,-5.459676,2025-07-29,2025-10-28,193,0.150373,7.506,8.0995,-0.5935,-4.5915,65,"{""atr_mult"": 3.8877008066206935, ""enter_floor"": 0.6312937083882529, ""enter_strong"": 0.7983136600217656, ""hold_days"": 2, ""lock_activate"": 0.02, ""max_concurrent"": 9, ""max_price_runup"": 0.08147415111834314, ""max_prob_surge"": 0.34430849011758646, ""position_size_pct"": 0.09153002083915479, ""theta_out"": 0.5550828038387156}"
T1+T2,SPY,True,False,fifo,3,2024-07-29,2025-10-29,2025-10-28,229,2025-10-28,-4.863004,2025-10-29,2026-01-28,257,-1.034019,3.5432,1.1171,2.4261,-4.2319,94,"{""atr_mult"": 4.0, ""enter_floor"": 0.6317790184947671, ""enter_strong"": 0.6317790184947671, ""hold_days"": 1, ""lock_activate"": 0.020237174215831738, ""max_concurrent"": 10, ""max_price_runup"": 0.11934348467630909, ""max_prob_surge"": 0.5410458056231623, ""position_size_pct"": 0.10969579657985808, ""theta_out"": 0.48266537282661093}"
T1+T2,SPY,True,False,fifo,4,2024-07-29,2026-01-29,2026-01-28,489,2026-01-28,-4.793413,2026-01-29,2026-04-28,513,-1.547836,3.7014,2.4913,1.2101,-5.9376,137,"{""atr_mult"": 4.0, ""enter_floor"": 0.6945433090641806, ""enter_strong"": 0.6945433090641806, ""hold_days"": 3, ""lock_activate"": 0.024927116286111616, ""max_concurrent"": 10, ""max_price_runup"": 0.10748328689367094, ""max_prob_surge"": 0.4706975825972687, ""position_size_pct"": 0.10921190518047409, ""theta_out"": 0.5215670676865837}"
T1+T2,SPY,True,False,fifo,5,2024-07-29,2026-04-29,2026-04-28,881,2026-04-28,-4.486586,2026-04-29,2026-06-13,96,6.427486,23.668,4.1873,19.4807,-3.9375,47,"{""atr_mult"": 3.8230477861639045, ""enter_floor"": 0.6906284649687494, ""enter_strong"": 0.6906284649687494, ""hold_days"": 1, ""lock_activate"": 0.02401491174390256, ""max_concurrent"": 9, ""max_price_runup"": 0.15545803701916058, ""max_prob_surge"": 0.4170234443947852, ""position_size_pct"": 0.12, ""theta_out"": 0.45}"
T1+T2,QQQ,True,False,fifo,1,2024-07-29,2025-04-29,2025-04-28,16,2024-11-30,-6.532949,2025-04-29,2025-07-28,81,2.608807,16.8869,19.4145,-2.5276,-2.4463,8,"{""atr_mult"": 4.0, ""enter_floor"": 0.7917205915446837, ""enter_strong"": 0.7917205915446837, ""hold_days"": 1, ""lock_activate"": 0.034467935629710976, ""max_concurrent"": 8, ""max_price_runup"": 0.09991917367572375, ""max_prob_surge"": 0.2902930937857977, ""position_size_pct"": 0.11005875612989653, ""theta_out"": 0.5635989421635501}"
T1+T2,QQQ,True,False,fifo,2,2024-07-29,2025-07-29,2025-07-28,85,2025-07-01,-6.706781,2025-07-29,2025-10-28,193,3.160287,17.5353,11.5185,6.0168,-3.2547,54,"{""atr_mult"": 3.8801068644159447, ""enter_floor"": 0.8, ""enter_strong"": 0.8, ""hold_days"": 1, ""lock_activate"": 0.035394383317515425, ""max_concurrent"": 9, ""max_price_runup"": 0.09704765404489485, ""max_prob_surge"": 0.3440634392913299, ""position_size_pct"": 0.11349111073589965, ""theta_out"": 0.5559144803600095}"
T1+T2,QQQ,True,False,fifo,3,2024-07-29,2025-10-29,2025-10-28,229,2025-10-28,-6.101103,2025-10-29,2026-01-28,257,-1.217041,4.6863,-0.4514,5.1377,-5.8647,102,"{""atr_mult"": 3.6719411351398317, ""enter_floor"": 0.7078828485231328, ""enter_strong"": 0.7537630247616286, ""hold_days"": 2, ""lock_activate"": 0.02, ""max_concurrent"": 10, ""max_price_runup"": 0.1979189034709732, ""max_prob_surge"": 0.46780018191899403, ""position_size_pct"": 0.10482831850320076, ""theta_out"": 0.5548573127446981}"
T1+T2,QQQ,True,False,fifo,4,2024-07-29,2026-01-29,2026-01-28,489,2026-01-28,-5.920591,2026-01-29,2026-04-28,513,-1.510842,4.0893,4.4147,-0.3255,-6.0404,119,"{""atr_mult"": 3.7766241006451557, ""enter_floor"": 0.694331987059584, ""enter_strong"": 0.7708102129560455, ""hold_days"": 1, ""lock_activate"": 0.02, ""max_concurrent"": 9, ""max_price_runup"": 0.10542262096812051, ""max_prob_surge"": 0.2, ""position_size_pct"": 0.10382228937964977, ""theta_out"": 0.4535532319762253}"
T1+T2,QQQ,True,False,fifo,5,2024-07-29,2026-04-29,2026-04-28,881,2026-04-28,-5.875947,2026-04-29,2026-06-13,96,3.855574,22.6676,8.9795,13.6881,-7.0318,44,"{""atr_mult"": 3.6791130377463896, ""enter_floor"": 0.7904191822897418, ""enter_strong"": 0.7904191822897418, ""hold_days"": 1, ""lock_activate"": 0.02, ""max_concurrent"": 10, ""max_price_runup"": 0.13671464656821888, ""max_prob_surge"": 0.2, ""position_size_pct"": 0.10948782847223623, ""theta_out"": 0.5608370031820524}"
